MANDT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOUPD,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KUNNR,KDIFF,KWERT,KSTEU,KINAK,KOAID,ZAEKO,KMXAW,KMXWR,KDUPL,KZBZG,KSTBS,KONMS,KONWS,KWAEH,KFKIV,KVARC,KMPRS,PRSQU,STUFE,WEGXX,KTREL,MDFLG,TXJLV
670,7,10,930,1,V,SKTO,05/02/2017,A,"           24,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,7,10,940,1,V,VPRS,05/02/2017,C,               80.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        11,200.00",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,8,10,11,1,V,PR00,05/02/2017,C,               50.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54086.0,1,ERL,600000.0,,,,,,,0.0,"        15,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,8,10,930,1,V,SKTO,05/02/2017,A,"           15,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,8,10,940,1,V,VPRS,05/02/2017,C,               50.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"         7,000.00",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,9,10,11,1,V,PR00,05/02/2017,C,               20.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,54087.0,1,ERL,600000.0,,,,,,,0.0,"         6,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,9,10,930,1,V,SKTO,05/02/2017,A,"            6,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,9,10,940,1,V,VPRS,05/02/2017,C,               20.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"         2,800.00",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,21,10,11,1,V,PR00,04/23/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57089.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,21,10,930,1,V,SKTO,04/23/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,21,10,940,1,V,VPRS,04/23/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,23,10,11,1,V,PR00,04/23/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57089.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,23,10,930,1,V,SKTO,04/23/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,23,10,940,1,V,VPRS,04/23/2018,C,              200.00,         726.36,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,527.20",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,24,10,11,1,V,PR00,04/23/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57089.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,24,10,930,1,V,SKTO,04/23/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,24,10,940,1,V,VPRS,04/23/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,25,10,11,1,V,PR00,04/23/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57089.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,25,10,930,1,V,SKTO,04/23/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,25,10,940,1,V,VPRS,04/23/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,26,10,11,1,V,PR00,05/02/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,56089.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,26,10,930,1,V,SKTO,05/02/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,26,10,940,1,V,VPRS,05/02/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,28,10,11,1,V,PR00,05/02/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,56089.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,28,10,930,1,V,SKTO,05/02/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,28,10,940,1,V,VPRS,05/02/2018,C,              200.00,         720.42,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,408.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,29,10,11,1,V,PR00,05/07/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57119.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,29,10,930,1,V,SKTO,05/07/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,29,10,940,1,V,VPRS,05/07/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,30,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57099.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,30,10,930,1,V,SKTO,05/09/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,30,10,940,1,V,VPRS,05/09/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,31,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57092.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,31,10,930,1,V,SKTO,05/09/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,31,10,940,1,V,VPRS,05/09/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,32,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57124.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,32,10,930,1,V,SKTO,05/09/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,32,10,940,1,V,VPRS,05/09/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,33,1,11,1,V,PR00,05/10/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57093.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,33,1,930,1,V,SKTO,05/10/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,33,1,940,1,V,VPRS,05/10/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,34,10,11,1,V,PR00,05/10/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57115.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,34,10,930,1,V,SKTO,05/10/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,34,10,940,1,V,VPRS,05/10/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,35,10,11,1,V,PR00,05/11/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57115.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,35,10,930,1,V,SKTO,05/11/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,35,10,940,1,V,VPRS,05/11/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,36,10,11,1,V,PR00,05/11/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57116.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,36,10,930,1,V,SKTO,05/11/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,36,10,940,1,V,VPRS,05/11/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,38,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57092.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,38,10,930,1,V,SKTO,05/11/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,38,10,940,1,V,VPRS,05/11/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,39,10,11,1,V,PR00,05/11/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57105.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,39,10,930,1,V,SKTO,05/11/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,39,10,940,1,V,VPRS,05/11/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,40,10,11,1,V,PR00,05/12/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57118.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,40,10,930,1,V,SKTO,05/12/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,40,10,940,1,V,VPRS,05/12/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,42,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57099.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,42,10,930,1,V,SKTO,05/12/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,42,10,940,1,V,VPRS,05/12/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,43,10,11,1,V,PR00,05/12/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57144.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,43,10,930,1,V,SKTO,05/12/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,43,10,940,1,V,VPRS,05/12/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,45,10,11,1,V,PR00,05/12/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57144.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,45,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,45,10,940,1,V,VPRS,05/13/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,48,10,11,1,V,PR00,05/13/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57109.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,48,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,48,10,940,1,V,VPRS,05/13/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,49,10,11,1,V,PR00,05/13/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57174.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,49,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,49,10,940,1,V,VPRS,05/13/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,51,10,11,1,V,PR00,05/11/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57116.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,51,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,51,10,940,1,V,VPRS,05/13/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,53,10,11,1,V,PR00,05/09/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57124.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,53,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,53,10,940,1,V,VPRS,05/13/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,54,10,11,1,V,PR00,05/13/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57146.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,54,10,930,1,V,SKTO,05/13/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,54,10,940,1,V,VPRS,05/13/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,56,10,11,1,V,PR00,05/13/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57174.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,56,10,930,1,V,SKTO,05/14/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,56,10,940,1,V,VPRS,05/14/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,58,10,11,1,V,PR00,05/07/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57119.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,58,10,930,1,V,SKTO,05/14/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,58,10,940,1,V,VPRS,05/14/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,59,10,11,1,V,PR00,05/14/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57139.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,59,10,930,1,V,SKTO,05/14/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,59,10,940,1,V,VPRS,05/14/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,60,10,11,1,V,PR00,05/14/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57112.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,60,10,930,1,V,SKTO,05/14/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,60,10,940,1,V,VPRS,05/14/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,61,10,11,1,V,PR00,05/14/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57146.0,1,ERL,,,,,,,,0.0,"        60,000.00",A,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,61,10,930,1,V,SKTO,05/14/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,61,10,940,1,V,VPRS,05/14/2018,C,              200.00,"       1,400.00",USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        28,000.00",A,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
670,64,10,11,1,V,PR00,05/14/2018,C,              200.00,"       3,000.00",USD,1.0,1,EA,1,1,,,,,,A,,,40,57139.0,1,ERL,600000.0,,,,,,,0.0,"        60,000.00",D,,B,0,,,,,0.0,,,,,,,,0,0,,,
670,64,10,930,1,V,SKTO,05/15/2018,A,"           60,000.00",           0.00,,0.0,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0.0,             0.00,A,,A,0,,,,,0.0,,,,,,,,0,0,,,
670,64,10,940,1,V,VPRS,05/15/2018,C,              200.00,         730.52,USD,1.0,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0.0,"        14,610.40",H,,B,0,,,,,0.0,,,USD,,,,,0,0,,,
