adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001193125-11-015947,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20101231,2011.0,Q2,20110127,2011-01-27 16:01:00.0,0,1,msft-20101231.xml,1,,2011,1
0001564590-17-014900,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20170630,2017.0,FY,20170802,2017-08-02 16:15:00.0,0,1,msft-20170630.xml,1,,2017,3
0001564590-17-020171,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20170930,2018.0,Q1,20171026,2017-10-26 16:09:00.0,0,1,msft-20170930.xml,1,,2017,4
0001193125-13-310206,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20130630,2013.0,FY,20130730,2013-07-30 16:15:00.0,0,1,msft-20130630.xml,1,,2013,3
0001193125-13-409855,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20130930,2014.0,Q1,20131024,2013-10-24 16:08:00.0,0,1,msft-20130930.xml,1,,2013,4
0001193125-13-455144,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,,0,630.0,8-K,20130630,2013.0,FY,20131126,2013-11-26 17:04:00.0,0,1,msft-20130630.xml,1,,2013,4
0001193125-15-020351,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20141231,2015.0,Q2,20150126,2015-01-26 16:14:00.0,0,1,msft-20141231.xml,1,,2015,1
0001564590-17-007547,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20170331,2017.0,Q3,20170427,2017-04-27 16:16:00.0,0,1,msft-20170331.xml,1,,2017,2
0001193125-10-015598,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20091231,2010.0,Q2,20100128,2010-01-28 16:12:00.0,0,0,msft-20091231.xml,1,,2010,1
0001193125-12-170665,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20120331,2012.0,Q3,20120419,2012-04-19 16:06:00.0,0,1,msft-20120331.xml,1,,2012,2
0001193125-16-742796,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20160930,2017.0,Q1,20161020,2016-10-20 16:10:00.0,0,1,msft-20160930.xml,1,,2016,4
0001193125-16-662209,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20160630,2016.0,FY,20160728,2016-07-28 16:12:00.0,0,1,msft-20160630.xml,1,,2016,3
0001193125-12-427209,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20120930,2013.0,Q1,20121018,2012-10-18 16:04:00.0,0,1,msft-20120930.xml,1,,2012,4
0001193125-12-316848,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20120630,2012.0,FY,20120726,2012-07-26 16:13:00.0,0,1,msft-20120630.xml,1,,2012,3
0001193125-16-550254,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20160331,2016.0,Q3,20160421,2016-04-21 16:11:00.0,0,1,msft-20160331.xml,1,,2016,2
0001193125-14-018634,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20131231,2014.0,Q2,20140123,2014-01-23 16:09:00.0,0,1,msft-20131231.xml,1,,2014,1
0001193125-15-350718,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20150930,2016.0,Q1,20151022,2015-10-22 16:10:00.0,0,1,msft-20150930.xml,1,,2015,4
0001193125-15-353706,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,,0,630.0,8-K,20150630,2015.0,FY,20151027,2015-10-26 21:24:00.0,0,1,msft-20150630.xml,1,,2015,4
0001193125-15-272806,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20150630,2015.0,FY,20150731,2015-07-31 15:08:00.0,0,1,msft-20150630.xml,1,,2015,3
0001193125-13-022207,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20121231,2013.0,Q2,20130124,2013-01-24 16:11:00.0,0,1,msft-20121231.xml,1,,2013,1
0001193125-11-115186,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20110331,2011.0,Q3,20110428,2011-04-28 16:10:00.0,0,1,msft-20110331.xml,1,,2011,2
0001193125-15-144151,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20150331,2015.0,Q3,20150423,2015-04-23 16:09:00.0,0,1,msft-20150331.xml,1,,2015,2
0001564590-17-000654,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20161231,2017.0,Q2,20170126,2017-01-26 16:13:00.0,0,1,msft-20161231.xml,1,,2017,1
0001193125-11-276022,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,0,630.0,10-Q,20110930,2012.0,Q1,20111020,2011-10-20 16:08:00.0,0,1,msft-20110930.xml,1,,2011,4
0001193125-11-200680,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20110630,2011.0,FY,20110728,2011-07-28 14:59:00.0,0,1,msft-20110630.xml,1,,2011,3
