MANDT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOUPD,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KUNNR,KDIFF,KWERT,KSTEU,KINAK,KOAID,ZAEKO,KMXAW,KMXWR,KFAKTOR,KDUPL,KFAKTOR1,KZBZG,KSTBS,KONMS,KONWS,KAWRT_K,KWAEH,KWERT_K,KFKIV,KVARC,KMPRS,PRSQU,VARCOND,STUFE,WEGXX,KTREL,MDFLG,TXJLV,KBFLAG,KOLNR3,CPF_GUID,KAQTY
375,7,10,930,1,V,SKTO,5/27/16,A,24000.00,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,7,10,940,1,V,VPRS,5/27/16,C,80.00,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"11,200.00",H,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"11,200.00",,,,,,0,0,,,,0,0,,0
375,8,10,11,1,V,PR00,5/27/16,C,50.00,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54086,1,ERL,600000,,,,,,,0,"15,000.00",D,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,8,10,930,1,V,SKTO,5/27/16,A,15000.00,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,8,10,940,1,V,VPRS,5/27/16,C,50.00,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"7,000.00",H,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"7,000.00",,,,,,0,0,,,,0,0,,0
375,9,10,11,1,V,PR00,5/27/16,C,20.00,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54087,1,ERL,600000,,,,,,,0,"6,000.00",D,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,9,10,930,1,V,SKTO,5/27/16,A,6000.00,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,9,10,940,1,V,VPRS,5/27/16,C,20.00,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"2,800.00",H,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"2,800.00",,,,,,0,0,,,,0,0,,0
375,21,10,11,1,V,PR00,1/31/17,C,1000.00,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,56088,1,ERL,,,,,,,,0,"300,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,21,10,930,1,V,SKTO,1/31/17,A,300000.00,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,21,10,940,1,V,VPRS,1/31/17,C,1000.00,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"140,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"140,000.00",,,,,,0,0,,,,0,0,,0
375,23,10,11,1,V,PR00,1/31/17,C,1000.00,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,56088,1,ERL,,,,,,,,0,"300,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,23,10,930,1,V,SKTO,1/31/17,A,300000.00,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,23,10,940,1,V,VPRS,1/31/17,C,1000.00,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"140,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"140,000.00",,,,,,0,0,,,,0,0,,0
375,1000000000,10,1,1,M,PBXX,5/9/16,C,600.00,25.00,USD,1,1,EA,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"1,500.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000000,10,21,1,M,NAVM,5/9/16,B,1500.00,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000000,10,35,1,M,SKTO,5/9/16,A,1500.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000000,10,60,1,M,WOTB,5/9/16,C,600.00,25.00,USD,1,1,EA,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"1,500.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000000,20,1,1,M,PBXX,5/9/16,C,1500.00,25.00,USD,1,1,EA,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"3,750.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000000,20,21,1,M,NAVM,5/9/16,B,3750.00,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000000,20,35,1,M,SKTO,5/9/16,A,3750.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000000,20,60,1,M,WOTB,5/9/16,C,1500.00,25.00,USD,1,1,EA,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"3,750.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,2,12,1,MS,PRSX,5/30/16,C,10.00,2000.00,EUR,,1,EA,1,1,H,X,,,,C,,,0,,0,,,,,,,,,0,"2,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000002,2,13,1,MS,PRS4,5/30/16,C,10.00,0.00,EUR,,1,EA,1,1,,,,,,A,,,0,,0,,,,,,,,,0,"2,000.00",A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,2,15,1,MS,ZA00,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,2,15,2,MS,KZ01,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,2,15,3,MS,GPRO,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,3,12,1,MS,PRSX,5/30/16,C,10.00,3000.00,EUR,,1,EA,1,1,H,X,,,,C,,,0,,0,,,,,,,,,0,"3,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000002,3,13,1,MS,PRS4,5/30/16,C,10.00,0.00,EUR,,1,EA,1,1,,,,,,A,,,0,,0,,,,,,,,,0,"3,000.00",A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,3,15,1,MS,ZA00,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,3,15,2,MS,KZ01,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000002,3,15,3,MS,GPRO,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,2,12,1,MS,PRSX,5/30/16,C,10.00,2000.00,EUR,,1,AU,1,1,H,X,,,,C,,,0,,0,,,,,,,,,0,"2,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000004,2,13,1,MS,PRS4,5/30/16,C,10.00,0.00,EUR,,1,AU,1,1,,,,,,A,,,0,,0,,,,,,,,,0,"2,000.00",A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,2,15,1,MS,ZA00,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,2,15,2,MS,KZ01,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,2,15,3,MS,GPRO,5/30/16,A,2000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,3,12,1,MS,PRSX,5/30/16,C,10.00,3000.00,EUR,,1,AU,1,1,H,X,,,,C,,,0,,0,,,,,,,,,0,"3,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000004,3,13,1,MS,PRS4,5/30/16,C,10.00,0.00,EUR,,1,AU,1,1,,,,,,A,,,0,,0,,,,,,,,,0,"3,000.00",A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,3,15,1,MS,ZA00,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,3,15,2,MS,KZ01,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000004,3,15,3,MS,GPRO,5/30/16,A,3000.00,0.00,,,0,,0,0,,,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000020,10,1,1,M,PBXX,1/24/17,C,1000.00,4336.24,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"100,000.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000020,10,11,1,M,RB00,1/24/17,C,87561655.00,-25000.00,USD,,1,LB,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125000,,0,"3,000.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000020,10,21,1,M,NAVM,1/24/17,B,87536655.00,0.00,USD,,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000020,10,35,1,M,SKTO,1/24/17,A,87536655.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000020,10,60,1,M,WOTB,1/24/17,C,1000.00,4335.00,USD,,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"100,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000021,10,1,1,M,PBXX,1/24/17,C,1000.00,4361.24,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"400,000.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000021,10,11,1,M,RB00,1/24/17,C,87674080.00,-25000.00,USD,,1,LB,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125000,,0,"3,000.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000021,10,21,1,M,NAVM,1/24/17,B,87649080.00,0.00,USD,,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000021,10,35,1,M,SKTO,1/24/17,A,87649080.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000021,10,60,1,M,WOTB,1/24/17,C,1000.00,4360.00,USD,,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"400,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000022,10,1,1,M,PBXX,1/24/17,C,1000.00,4341.25,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000022,10,11,1,M,RB00,1/24/17,C,86881420.00,-25000.00,USD,,1,LB,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125000,,0,"3,000.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000022,10,21,1,M,NAVM,1/24/17,B,86856420.00,0.00,USD,,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000022,10,35,1,M,SKTO,1/24/17,A,86856420.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000022,10,60,1,M,WOTB,1/24/17,C,1000.00,4340.00,USD,,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000023,10,1,1,M,PBXX,1/24/17,C,1000.00,4308.74,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000023,10,11,1,M,RB00,1/24/17,C,86838355.00,-25000.00,USD,,1,LB,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125000,,0,"3,000.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000023,10,21,1,M,NAVM,1/24/17,B,86813355.00,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000023,10,35,1,M,SKTO,1/24/17,A,86813355.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000023,10,60,1,M,WOTB,1/24/17,C,1000.00,4307.50,USD,1,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000024,10,1,1,M,PBXX,1/24/17,C,2000.00,4277.50,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"213,710.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000024,10,21,1,M,NAVM,1/24/17,B,85485837.50,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,XI,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000024,10,35,1,M,SKTO,1/24/17,A,85485837.50,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000024,10,60,1,M,WOTB,1/24/17,C,2000.00,4277.50,USD,1,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"213,710.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000025,10,1,1,M,PBXX,1/24/17,C,10000.00,4323.75,SAR,/3.74340,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"1,068,550.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000025,10,11,1,M,RB00,1/24/17,C,86487967.50,-25000.00,USD,,1,LB,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125000,,0,"3,000.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000025,10,21,1,M,NAVM,1/24/17,B,86462967.50,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,XI,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000025,10,35,1,M,SKTO,1/24/17,A,86462967.50,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000025,10,60,1,M,WOTB,1/24/17,C,10000.00,4322.50,USD,1,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"1,068,550.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000026,10,1,1,M,PBXX,1/24/17,C,10000.00,3284.70,PEN,/3.52000,1,EA,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"3,284,700.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000026,10,21,1,M,NAVM,1/24/17,B,3284700.00,0.00,PEN,/3.52000,0,,0,0,N,X,,,,A,,,0,,0,,,XI,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000026,10,31,1,M,FRC1,1/24/17,C,10000.00,1642.35,PEN,/3.52000,1,EA,1,1,B,X,,X,,C,,,0,,0,FRE,,,FR1,,,125001,,0,"1,642,350.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000026,10,35,1,M,SKTO,1/24/17,A,3284700.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000026,10,60,1,M,WOTB,1/24/17,C,10000.00,3284.70,PEN,/3.52000,1,EA,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"3,284,700.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000027,10,1,1,M,PBXX,1/24/17,C,10000.00,3284.70,PEN,/3.52000,1,EA,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"3,284,700.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000027,10,10,1,M,ZC00,1/24/17,C,10000.00,1642.35,PEN,/3.52000,1,EA,1,1,,,,,,C,,,0,,0,,,,,,,,,0,"1,642,350.00",C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000027,10,21,1,M,NAVM,1/24/17,B,4927050.00,0.00,PEN,/3.52000,0,,0,0,N,X,,,,A,,,0,,0,,,XI,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000027,10,35,1,M,SKTO,1/24/17,A,4927050.00,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000027,10,60,1,M,WOTB,1/24/17,C,10000.00,4927.05,PEN,/3.52000,1,EA,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"4,927,050.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000028,10,1,1,M,PBXX,1/24/17,C,1000.00,4342.50,USD,,1,LB,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000028,10,21,1,M,NAVM,1/24/17,B,85872937.50,0.00,USD,1,0,,0,0,N,X,,,,A,,,0,,0,,,XI,,,,,,0,0,A,,D,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000028,10,35,1,M,SKTO,1/24/17,A,85872937.50,0.00,,,0,,0,0,E,X,,,,A,X,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000028,10,60,1,M,WOTB,1/24/17,C,1000.00,4342.50,USD,1,1,LB,1,1,,X,,,,A,,,0,,0,,,,,,,,,0,"106,855.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000029,10,1,1,M,PBXX,1/24/17,C,100.00,100.00,USD,1,1,EA,1,1,H,,,,,A,,,0,,0,,,,,,,,,0,"1,000.00",C,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
375,1000000029,10,10,1,M,ZC00,1/24/17,C,100.00,0.00,USD,1,1,EA,1,1,,,,,,C,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1000000029,10,10,2,M,ZC00,1/24/17,C,100.00,5.00,USD,1,1,EA,1,1,,,,,,C,,,0,,0,,,,,,,,,0,50,C,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,X,,,0,0,,,,0,0,,0
